state,statistics,2020,2021,2022,2023,2024
Johor,total_graduate,450.6,473.4,498.6,521.7,554.9
Johor,total_emp_graduate,386,409.8,430,454.4,480.7
Johor,total_unemp_graduate,18,17.4,17.4,15.2,16.2
Johor,total_outside_labour,46.6,46.2,51.3,52.1,57.9
Johor,total_unemp_rate,4.5,4.1,3.9,3.2,3.3
Johor,deg_graduate,207.4,220.7,235.2,250.4,272.1
Johor,deg_emp_graduate,183.5,196.1,208.3,224.4,241.9
Johor,deg_unemp_graduate,10.4,10.8,10,9.1,10.4
Johor,deg_outside_labour,13.6,13.8,17,16.9,19.8
Johor,deg_unemp_rate,5.4,5.2,4.6,3.9,4.1
Johor,dip_graduate,243.1,252.7,263.4,271.3,282.7
Johor,dip_emp_graduate,202.5,213.6,221.7,230.1,238.8
Johor,dip_unemp_graduate,7.6,6.6,7.4,6.1,5.9
Johor,dip_outside_labour,33,32.4,34.3,35.2,38.1
Johor,dip_unemp_rate,3.6,3,3.2,2.6,2.4
