state,2016,2017,2018,2019,2020,2021,2022,2023,2024
Johor,4297,4635,4842,4986,4443,4514,4689,4855,5046.3
Kedah,3911,3686,3832,4376,3717,3780,3999,4289,4498
Kelantan,4195,4287,4439,4645,4234,4294,4316,4469,4504.8
Melaka,3486,3681,4086,4362,4067,4225,4545,4705,5214.9
Negeri Sembilan,3998,4559,4641,4969,4408,4531,4586,4723,4930.8
Pahang,3425,4097,4269,4588,4375,4536,4711,4908,5005.4
Pulau Pinang,3903,3955,4270,4647,4478,4640,4788,4912,5333.8
Perak,3643,3948,4005,4411,3943,4172,4303,4577,4857.8
Perlis,3812,4093,4791,4708,4294,4342,4367,4591,4662.1
Selangor,4576,4918,5216,5446,4796,4848,5117,5356,5693.5
Terengganu,4071,4194,4460,4648,4041,4090,4288,4598,4799.6
Sabah,3867,4311,4795,4811,3889,3898,4159,4413,4534.6
Sarawak,4136,4614,4950,4968,4286,4318,4547,4805,5086.7
W.P. Kuala Lumpur,5794,6564,6424,6442,5430,5436,5558,5779,6212.4
W.P. Labuan,4194,4465,4859,4793,4332,4339,4518,4766,5082.6
"W.P. Putrajaya
",4503,5028,5413,5812,5338,5482,5682,6084,6470.8
