statistics,2020,2021,2022,2023,2024
≤ 24_total_olf,195.7,210.9,224.5,231.5,237.3
25 - 34_total_olf,183,204.5,192.8,199.2,203
35 - 44_total_olf,94.1,100.5,99.7,100.5,105.4
≥ 45_total_olf,272.8,268.8,285.9,289,293
≤ 24_deg_olf,31.4,27.4,37.8,41.6,43.7
25 - 34_deg_olf,86.8,98,91,94.5,96.6
35 - 44_deg_olf,40.6,43,45.6,46.8,48.7
≥ 45_deg_olf,126.7,139.3,147.7,149,149.9
≤ 24_dip_olf,164.3,183.6,186.7,189.9,193.6
25 - 34_dip_olf,96.2,106.5,101.8,104.7,106.3
35 - 44_dip_olf,53.5,57.5,54.1,53.7,56.7
≥ 45_dip_olf,146.2,129.4,138.1,140,143.1082124
