statistics,2020,2021,2022,2023,2024
¡Ü 24_total_grad,572.3,584.3,598.6,641.1,672.8
25 - 34_total_grad,1899.4,1995.2,2003.1,1999.9,2040.9
35 - 44_total_grad,1421.1,1528.1,1640.4,1765.4,1872.5
¡Ý 45_total_grad,1094.5,1140.9,1270.1,1336.9,1395.2
¡Ü 24_deg_grad,140.1,136.6,150,170.1,186.7
25 - 34_deg_grad,1033.8,1112,1072.3,1101.9,1134.1
35 - 44_deg_grad,817.2,888.5,971,1035.7,1107.7
¡Ý 45_deg_grad,641.8,676.4,778.1,815.1,852.7
¡Ü 24_dip_grad,432.2,447.8,448.6,471,486.1
25 - 34_dip_grad,865.6,883.2,930.9,898,906.7
35 - 44_dip_grad,603.9,639.6,669.3,729.6,764.8
¡Ý 45_dip_grad,452.7,464.5,491.9,521.8,542.5
