Year,Quarter,Skills,Economic Activity,Sub-economic Activity,Jobs ('000),Filled Jobs ('000),Vacancies ('000),Jobs Created ('000)
2025,1,Skilled,Agriculture,Agriculture,28.8,24.4,4.4,0.1
2025,1,Skilled,Mining & Quarrying,Mining & Quarrying,23.5,23.4,0.1,0.1
2025,1,Skilled,Manufacturing,"Food processing, beverages & tobacco products",46.1,43.6,2.4,0.4
2025,1,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.4,9.8,0.6,0.0
2025,1,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.4,34.4,2.0,0.3
2025,1,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.0,78.6,4.4,0.7
2025,1,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",63.4,59.6,3.8,0.3
2025,1,Skilled,Manufacturing,"Electrical, electronic & optical products",152.0,142.7,9.3,0.7
2025,1,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",53.2,50.4,2.8,0.2
2025,1,Skilled,Construction,Construction,142.4,137.9,4.4,0.5
2025,1,Skilled,Services,Wholesale & retail trade,620.9,616.6,4.3,1.6
2025,1,Skilled,Services,Food & beverages and accommodation,118.1,117.8,0.3,0.4
2025,1,Skilled,Services,Transportation & storage,101.0,100.6,0.4,0.8
2025,1,Skilled,Services,Information & communication,139.6,139.3,0.3,0.3
2025,1,Skilled,Services,"Finance, insurance, real estate & business services",439.2,432.0,7.2,1.9
2025,1,Skilled,Services,Other services,217.5,217.0,0.5,0.7
2025,1,Semi-skilled,Agriculture,Agriculture,443.6,422.4,21.2,1.1
2025,1,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.4,47.1,0.3,0.1
2025,1,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",269.4,261.1,8.3,0.3
2025,1,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",74.2,72.4,1.8,0.4
2025,1,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",236.9,230.4,6.5,0.5
2025,1,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",351.8,337.8,14.1,2.2
2025,1,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",293.4,285.1,8.3,1.0
2025,1,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",473.8,452.4,21.4,3.4
2025,1,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",172.8,166.8,6.0,0.7
2025,1,Semi-skilled,Construction,Construction,"1,080.3","1,065.7",14.7,2.6
2025,1,Semi-skilled,Services,Wholesale & retail trade,900.4,898.2,2.2,6.3
2025,1,Semi-skilled,Services,Food & beverages and accommodation,353.7,352.7,1.0,0.3
2025,1,Semi-skilled,Services,Transportation & storage,240.8,240.0,0.8,0.3
2025,1,Semi-skilled,Services,Information & communication,80.4,80.2,0.2,0.3
2025,1,Semi-skilled,Services,"Finance, insurance, real estate & business services",400.6,399.3,1.4,0.6
2025,1,Semi-skilled,Services,Other services,237.8,236.6,1.2,0.5
2025,1,Low-skilled,Agriculture,Agriculture,28.1,22.0,6.1,0.1
2025,1,Low-skilled,Mining & Quarrying,Mining & Quarrying,10.0,9.9,0.1,0.0
2025,1,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.8,34.7,4.2,0.2
2025,1,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.1,0.8,0.1
2025,1,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",41.3,35.9,5.4,0.1
2025,1,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",24.7,23.0,1.8,0.2
2025,1,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",30.6,27.3,3.3,0.3
2025,1,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.3,20.0,3.2,0.1
2025,1,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.3,11.3,1.0,0.0
2025,1,Low-skilled,Construction,Construction,49.8,43.6,6.3,0.5
2025,1,Low-skilled,Services,Wholesale & retail trade,239.5,236.6,2.9,0.9
2025,1,Low-skilled,Services,Food & beverages and accommodation,340.6,340.2,0.4,0.0
2025,1,Low-skilled,Services,Transportation & storage,93.0,92.6,0.3,0.2
2025,1,Low-skilled,Services,Information & communication,18.0,17.5,0.5,0.1
2025,1,Low-skilled,Services,"Finance, insurance, real estate & business services",103.7,102.9,0.8,0.3
2025,1,Low-skilled,Services,Other services,71.9,71.5,0.4,0.3
2024,4,Skilled,Agriculture,Agriculture,28.9,24.4,4.5,0.2
2024,4,Skilled,Mining & Quarrying,Mining & Quarrying,23.3,23.2,0.1,0.1
