date,unemploymern_type,underemp_rate_oct,source
2016-01-01,skill,22.931108873867394,historical
2016-04-01,skill,23.339097648442927,historical
2016-07-01,skill,23.73546836575005,historical
2016-10-01,skill,24.120710320029755,historical
2017-01-01,skill,24.495285710404044,historical
2017-04-01,skill,24.807528371250463,historical
2017-07-01,skill,25.10777832937057,historical
2017-10-01,skill,25.39671349466776,historical
2018-01-01,skill,25.67496162846287,historical
2018-04-01,skill,25.73904116366515,historical
2018-07-01,skill,25.80099744556623,historical
2018-10-01,skill,25.860934284210025,historical
2019-01-01,skill,25.918948830856905,historical
2019-04-01,skill,26.78226901364838,historical
2019-07-01,skill,27.66572688498518,historical
2019-10-01,skill,28.570035352919664,historical
2020-01-01,skill,29.49594137820434,historical
2020-04-01,skill,30.61742214543397,historical
2020-07-01,skill,31.708575886695076,historical
2020-10-01,skill,32.77061634385936,historical
2021-01-01,skill,33.80469334330591,historical
2021-04-01,skill,33.91634762082962,historical
2021-07-01,skill,34.02475972176518,historical
2021-10-01,skill,34.13006884286936,historical
2022-01-01,skill,34.23240632512185,historical
2022-04-01,skill,33.75710830773253,historical
2022-07-01,skill,33.29314761791996,historical
2022-10-01,skill,32.8401233911286,historical
2023-01-01,skill,32.39765344098909,historical
2023-04-01,skill,32.3359765539747,historical
2023-07-01,skill,32.275697669639555,historical
2023-10-01,skill,32.21676978877747,historical
2024-01-01,skill,32.159147995579225,historical
2024-04-01,skill,32.10278934329293,historical
2024-07-01,skill,32.04765274796744,historical
2024-10-01,skill,31.993698888076395,historical
2025-01-01,skill,31.94089011116405,forecasted
2025-04-01,skill,31.88919034621725,forecasted
2025-07-01,skill,31.83856502150033,forecasted
2025-10-01,skill,31.788980987460185,forecasted
2026-01-01,skill,31.74040644433997,forecasted
2026-04-01,skill,31.69281087416958,forecasted
2026-07-01,skill,31.646164976826974,forecasted
2026-10-01,skill,31.60044060988907,forecasted
2027-01-01,skill,31.55561073201265,forecasted
2027-04-01,skill,31.51164934960588,forecasted
2027-07-01,skill,31.46853146656965,forecasted
2027-10-01,skill,31.42623303690421,forecasted
2028-01-01,skill,31.384730919992705,forecasted
2028-04-01,skill,31.34400283838646,forecasted
2028-07-01,skill,31.30402733793061,forecasted
2028-10-01,skill,31.264783750079754,forecasted
2029-01-01,skill,31.226252156264863,forecasted
2029-04-01,skill,31.18841335418209,forecasted
2029-07-01,skill,31.1512488258838,forecasted
2029-10-01,skill,31.11474070756043,forecasted
2030-01-01,skill,31.078871760909344,forecasted
2016-01-01,time,0.9837480224363584,historical
2016-04-01,time,0.989383265531758,historical
2016-07-01,time,0.9948580371115584,historical
2016-10-01,time,1.0001790954303111,historical
2017-01-01,time,1.0053528244980028,historical
2017-04-01,time,1.0369492247855503,historical
2017-07-01,time,1.0673320617667807,historical
2017-10-01,time,1.0965699343724364,historical
2018-01-01,time,1.12472636690738,historical
2018-04-01,time,1.0495002968533544,historical
2018-07-01,time,0.9767668166889673,historical
2018-10-01,time,0.9064040587756664,historical
2019-01-01,time,0.8382979725433867,historical
2019-04-01,time,1.074839816116047,historical
2019-07-01,time,1.3168992023904191,historical
2019-10-01,time,1.564671461660368,historical
2020-01-01,time,1.8183612543485237,historical
2020-04-01,time,1.8853002549018412,historical
2020-07-01,time,1.950429094400768,historical
2020-10-01,time,2.0138202187313112,historical
2021-01-01,time,2.075542258788332,historical
2021-04-01,time,1.9643628198854317,historical
2021-07-01,time,1.856411769378284,historical
2021-10-01,time,1.751550502480245,historical
2022-01-01,time,1.6496482367730412,historical
2022-04-01,time,1.4162145674009194,historical
2022-07-01,time,1.1883490129383651,historical
2022-10-01,time,0.9658546963089032,historical
2023-01-01,time,0.7485439138753969,historical
2023-04-01,time,0.7711414348219204,historical
2023-07-01,time,0.7932267477703342,historical
2023-10-01,time,0.8148170725512308,historical
2024-01-01,time,0.8359288656686427,historical
2024-04-01,time,0.8565778621283509,historical
2024-07-01,time,0.8767791145622305,historical
2024-10-01,time,0.8965470298099336,historical
2025-01-01,time,0.915895403187596,forecasted
2025-04-01,time,0.9348374505936276,forecasted
2025-07-01,time,0.9533858386128043,forecasted
2025-10-01,time,0.9715527127627592,forecasted
2026-01-01,time,0.9893497240152492,forecasted
2026-04-01,time,1.006788053713891,forecasted
2026-07-01,time,1.0238784370003469,forecasted
2026-10-01,time,1.0406311848520973,forecasted
2027-01-01,time,1.0570562048268624,forecasted
2027-04-01,time,1.073163020601371,forecasted
2027-07-01,time,1.0889607903854397,forecasted
2027-10-01,time,1.104458324286178,forecasted
2028-01-01,time,1.1196641006914951,forecasted
2028-04-01,time,1.1345862817369217,forecasted
2028-07-01,time,1.1492327279150378,forecasted
2028-10-01,time,1.163611011882448,forecasted
2029-01-01,time,1.1777284315152574,forecasted
2029-04-01,time,1.1915920222603409,forecasted
2029-07-01,time,1.205208568826331,forecasted
2029-10-01,time,1.2185846162551328,forecasted
2030-01-01,time,1.231726480411933,forecasted
