state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Johor,total_graduate_degree,190.8,216.7,250.5,258.4,207.4,220.7,235.2,250.4,272.1
Johor,emp_graduate_degree,143.7,163.9,190.5,197,183.5,196.1,208.3,224.4,241.9
Johor,unemp_graduate_degree,8.2,7.2,8.2,7.9,10.4,10.8,10,9.1,10.4
Johor,outside_labour_force_degree,38.9,45.6,51.8,53.5,13.6,13.8,17,16.9,19.8
Johor,unemp_rate_degree,5.4,4.2,4.1,3.9,5.4,5.2,4.6,3.9,4.1
Johor,total_graduate_diploma,177.2,201.2,236.7,234.6,243.1,252.7,263.4,271.3,282.7
Johor,emp_graduate_diploma,152.5,171.8,203.9,203.6,202.5,213.6,221.7,230.1,238.8
Johor,unemp_graduate_diploma,7.5,8.3,5.4,6.7,7.6,6.6,7.4,6.1,5.9
Johor,outside_labour_force_diploma,17.2,21.1,27.4,24.3,33,32.4,34.3,35.2,38.1
Johor,unemp_rate_diploma,4.7,4.6,2.5,3.2,3.6,3,3.2,2.6,2.4
