state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kedah,total_graduate_degree,116.7,124.4,144.9,149.1,126.1,138.7,143.9,152.7,156.2
Kedah,emp_graduate_degree,86.3,94.4,107.8,108.6,107.7,116.6,123,129.9,135
Kedah,unemp_graduate_degree,4.2,4.2,5.1,5.5,5.5,6.1,6.3,6,5.7
Kedah,outside_labour_force_degree,26.2,25.8,32,35,12.8,16,14.6,16.8,15.5
Kedah,unemp_rate_degree,4.6,4.3,4.5,4.8,4.9,5,4.9,4.4,4
Kedah,total_graduate_diploma,95.8,95.5,121.8,126.8,129,137.8,141.2,146.7,147.5
Kedah,emp_graduate_diploma,77.6,75.8,100.5,104.9,93.9,100.3,104.5,108.6,110
Kedah,unemp_graduate_diploma,2.1,3.4,2.3,3.8,3.2,2.7,2.6,2.4,2.3
Kedah,outside_labour_force_diploma,16.1,16.3,19,18.1,31.9,34.8,34.2,35.8,35.2
Kedah,unemp_rate_diploma,2.6,4.2,2.1,3.5,3.3,2.6,2.4,2.2,2
