state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kelantan,total_graduate_degree,99.2,102.7,121.3,130.8,92.7,102.7,108.3,117.4,121.1
Kelantan,emp_graduate_degree,72.2,70.9,85.5,90.4,75.6,81.8,87.6,92.2,99.7
Kelantan,unemp_graduate_degree,4.7,5.6,6.7,7.7,4.8,4.9,5,4.6,4.8
Kelantan,outside_labour_force_degree,22.3,26.2,29,32.7,12.3,15.9,15.7,20.6,16.6
Kelantan,unemp_rate_degree,6.1,7.3,7.3,7.8,5.9,5.7,5.4,4.8,4.6
Kelantan,total_graduate_diploma,76.5,81.3,92.7,99.4,89,93.3,97.7,102.8,104.6
Kelantan,emp_graduate_diploma,58.9,60.9,71.8,78.5,60,62.3,66.6,68,73.7
Kelantan,unemp_graduate_diploma,3.5,4.8,3.3,5,4,3.6,3.5,3.3,3.1
Kelantan,outside_labour_force_diploma,14.1,15.6,17.6,15.9,25.1,27.4,27.6,31.6,27.8
Kelantan,unemp_rate_diploma,5.6,7.3,4.4,6,6.3,5.5,5,4.6,4
