state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
W.P. Kuala Lumpur,total_graduate_degree,228.1,216.1,248.8,223.4,331.3,347.6,371.5,388.9,452.3
W.P. Kuala Lumpur,emp_graduate_degree,187.5,180.7,209.8,194.9,284.8,301.1,322.9,343.9,401.1
W.P. Kuala Lumpur,unemp_graduate_degree,5.9,4.8,2.3,3.6,7.3,7.2,6.9,5.9,6.5
W.P. Kuala Lumpur,outside_labour_force_degree,34.7,30.6,36.7,24.9,39.2,39.3,41.7,39.1,44.7
W.P. Kuala Lumpur,unemp_rate_degree,3,2.6,1.1,1.9,2.5,2.3,2.1,1.7,1.6
W.P. Kuala Lumpur,total_graduate_diploma,224.6,201,255.6,223.3,206.8,206.1,220.2,226.7,245.1
W.P. Kuala Lumpur,emp_graduate_diploma,162.7,148.8,182.9,172.2,164.7,165.6,178,186.9,200.2
W.P. Kuala Lumpur,unemp_graduate_diploma,7.2,4.8,5.9,4.8,6.8,6.1,5.4,5.5,5.3
W.P. Kuala Lumpur,outside_labour_force_diploma,54.7,47.4,66.8,46.3,35.4,34.4,36.7,34.3,39.6
W.P. Kuala Lumpur,unemp_rate_diploma,4.2,3.1,3.1,2.7,3.9,3.6,3,2.9,2.6
