state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
W.P. Labuan,total_graduate_degree,6.7,5.2,6,7.1,4.1,4.6,4.9,5.3,5.9
W.P. Labuan,emp_graduate_degree,5.9,4.7,5.3,6.2,3.6,4,4.4,4.8,5.3
W.P. Labuan,unemp_graduate_degree,0.4,0.2,0.3,0.4,0.1,0.1,0.1,0,0.1
W.P. Labuan,outside_labour_force_degree,0.4,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.5
W.P. Labuan,unemp_rate_degree,5.9,4.1,5.4,6.1,2,1.7,1.6,1,1
W.P. Labuan,total_graduate_diploma,6.7,6,7.2,7.3,6.9,7,7.6,7.7,7.9
W.P. Labuan,emp_graduate_diploma,4.4,4,5.1,5.5,5.5,5.7,6.1,6.4,6.5
W.P. Labuan,unemp_graduate_diploma,0.4,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1
W.P. Labuan,outside_labour_force_diploma,2,1.6,1.8,1.7,1.2,1.2,1.4,1.2,1.3
W.P. Labuan,unemp_rate_diploma,7.4,9.1,5.6,1.8,2.5,2.2,1.5,1.3,1.1
