state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Melaka,total_graduate_degree,69,80,89.1,98.4,77,83.4,87.6,93.4,99.7
Melaka,emp_graduate_degree,51.3,60.9,68.5,75.3,65.8,72,74.7,81,87.2
Melaka,unemp_graduate_degree,0.9,1.1,1.6,1.9,1.9,1.9,1.9,1.8,1.5
Melaka,outside_labour_force_degree,16.8,18.1,19,21.2,9.3,9.5,11,10.5,11
Melaka,unemp_rate_degree,1.7,1.8,2.3,2.5,2.8,2.6,2.5,2.2,1.7
Melaka,total_graduate_diploma,58.5,72.5,75.4,81.7,92.6,95.9,100.4,101.2,105.4
Melaka,emp_graduate_diploma,49.9,59.1,61.7,68.6,72.4,75.6,78.8,82.1,84.8
Melaka,unemp_graduate_diploma,0.4,0.7,0.3,0.6,1.2,1.1,1.2,0.9,1
Melaka,outside_labour_force_diploma,8.2,12.7,13.4,12.5,19,19.2,20.4,18.2,19.6
Melaka,unemp_rate_diploma,0.8,1.2,0.5,0.9,1.6,1.5,1.5,1.1,1.1
