state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Negeri Sembilan,total_graduate_degree,66.8,82,82.3,88.4,93.9,103.3,105.9,112.3,120.3
Negeri Sembilan,emp_graduate_degree,56.6,68.8,67.9,73.5,79.6,88.2,90.2,95.6,103.4
Negeri Sembilan,unemp_graduate_degree,2.4,1.9,3.1,2.9,3.7,3.8,3.4,3.5,4
Negeri Sembilan,outside_labour_force_degree,7.7,11.3,11.3,12,10.6,11.3,12.4,13.2,13
Negeri Sembilan,unemp_rate_degree,4.1,2.7,4.4,3.8,4.4,4.2,3.6,3.6,3.7
Negeri Sembilan,total_graduate_diploma,73.3,82.5,91.5,95.7,104.4,109.5,113.1,117.2,121.5
Negeri Sembilan,emp_graduate_diploma,56,60.5,69,72.2,75.8,79.7,83.4,86.6,91.3
Negeri Sembilan,unemp_graduate_diploma,3,2.9,2.5,3.2,2.9,2.6,2.6,2.2,2.2
Negeri Sembilan,outside_labour_force_diploma,14.3,19.1,20,20.4,25.7,27.2,27.2,28.5,28
Negeri Sembilan,unemp_rate_diploma,5,4.6,3.5,4.2,3.7,3.2,3,2.5,2.4
