state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Pahang,total_graduate_degree,78.3,76.2,84.7,96.4,89.4,96.7,101.7,107.5,108.7
Pahang,emp_graduate_degree,68,63.4,71.8,81.3,78.2,83.9,89,93,95.9
Pahang,unemp_graduate_degree,2.2,2.9,2.2,3.2,2.9,3.1,3.3,2.9,2.8
Pahang,outside_labour_force_degree,8.1,9.9,10.7,11.9,8.3,9.7,9.5,11.6,10
Pahang,unemp_rate_degree,3.1,4.4,3,3.8,3.6,3.6,3.5,3,2.9
Pahang,total_graduate_diploma,91.9,92.7,103.8,122.6,97.5,102.7,107.7,111.5,113.1
Pahang,emp_graduate_diploma,72.3,70.8,79.4,88.6,73.5,76.2,80.8,82.8,87.8
Pahang,unemp_graduate_diploma,4.2,4.2,3.6,5.1,3.6,3.1,3.2,2.9,2.8
Pahang,outside_labour_force_diploma,15.4,17.7,20.8,28.9,20.4,23.3,23.7,25.8,22.6
Pahang,unemp_rate_diploma,5.5,5.6,4.3,5.4,4.6,4,3.8,3.4,3
