state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Perak,total_graduate_degree,135.7,150.5,157.4,176.9,144.6,155.9,164.5,173.6,183
Perak,emp_graduate_degree,104.1,106,115.3,123.1,110.9,120.3,127.4,135.1,145.7
Perak,unemp_graduate_degree,5.7,7.6,6.1,8.2,8.5,8.6,9.1,8.2,8.3
Perak,outside_labour_force_degree,26,36.9,36,45.6,25.3,27,28,30.3,29
Perak,unemp_rate_degree,5.2,6.7,5,6.2,7.1,6.7,6.7,5.7,5.4
Perak,total_graduate_diploma,118,131.1,137.5,153.5,156.5,160.5,167.6,174.5,178.5
Perak,emp_graduate_diploma,95.8,102.3,106.2,121.8,111.1,116.2,122.3,127,131.5
Perak,unemp_graduate_diploma,2.6,6.7,6.5,5,5.1,4.5,3.7,3.5,3.2
Perak,outside_labour_force_diploma,19.5,22.1,24.9,26.6,40.4,39.8,41.6,44,43.9
Perak,unemp_rate_diploma,2.7,6.1,5.8,3.9,4.4,3.7,3,2.7,2.4
