state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Perlis,total_graduate_degree,14.1,17.3,14.5,16.4,19.8,21.9,22.8,24,25.2
Perlis,emp_graduate_degree,10.6,12.2,11.6,12.9,15.1,16.1,17.4,18.3,19.7
Perlis,unemp_graduate_degree,0.3,0.6,0.5,0.6,0.9,1,1.1,0.9,0.9
Perlis,outside_labour_force_degree,3.2,4.5,2.4,2.9,3.8,4.8,4.2,4.8,4.5
Perlis,unemp_rate_degree,2.7,4.7,4.1,4.4,5.8,6,5.9,4.9,4.5
Perlis,total_graduate_diploma,16.7,18.7,19.7,23.8,20.5,21,22.5,23.4,23.5
Perlis,emp_graduate_diploma,11.8,12.2,12.6,15.8,13.4,13.6,14.8,15.4,16.1
Perlis,unemp_graduate_diploma,0.4,0.9,1.2,1.3,0.8,0.7,0.7,0.6,0.6
Perlis,outside_labour_force_diploma,4.5,5.6,5.9,6.7,6.4,6.7,7,7.4,6.8
Perlis,unemp_rate_diploma,3.5,6.9,8.7,7.6,5.5,5,4.4,3.4,3.5
