state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Pulau Pinang,total_graduate_degree,146.9,150.6,157.5,173.7,191,208.3,211.2,223.7,241.3
Pulau Pinang,emp_graduate_degree,126.7,127.9,132.1,147.9,166.4,183.6,184.2,199.8,211.9
Pulau Pinang,unemp_graduate_degree,3.7,2.2,3.6,2.2,3.5,3.9,3.6,3.3,3.4
Pulau Pinang,outside_labour_force_degree,16.5,20.6,21.8,23.6,21,20.8,23.4,20.6,26
Pulau Pinang,unemp_rate_degree,2.8,1.7,2.7,1.5,2.1,2.1,1.9,1.6,1.6
Pulau Pinang,total_graduate_diploma,151.5,155.6,173.6,181.1,144.3,147.3,153.3,158.2,163.7
Pulau Pinang,emp_graduate_diploma,119.6,116.5,133,133.4,105.1,112.4,113.2,119.6,121.4
Pulau Pinang,unemp_graduate_diploma,2.9,4.3,3.4,3.2,3.3,3.4,3.5,3,3.6
Pulau Pinang,outside_labour_force_diploma,29,34.8,37.2,44.5,35.9,31.4,36.6,35.7,38.7
Pulau Pinang,unemp_rate_diploma,2.4,3.6,2.5,2.3,3,2.9,3,2.5,2.9
