state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
W.P. Putrajaya,total_graduate_degree,16.7,16.7,17.3,17.7,18.1,19,21,20.9,22.7
W.P. Putrajaya,emp_graduate_degree,14.5,14.5,15.5,14.7,15.1,15.7,17.3,17.7,19.3
W.P. Putrajaya,unemp_graduate_degree,0.3,0.3,0.1,0.2,0.2,0.1,0.2,0.1,0.1
W.P. Putrajaya,outside_labour_force_degree,1.9,1.9,1.7,2.7,2.8,3.1,3.6,3,3.2
W.P. Putrajaya,unemp_rate_degree,1.7,2,0.6,1.3,1.3,1.3,1.6,1,0.7
W.P. Putrajaya,total_graduate_diploma,11.3,11.2,11.5,12,17.1,17.4,19.2,19.4,18.7
W.P. Putrajaya,emp_graduate_diploma,10.4,10,9.9,10.5,14.6,14.5,16.1,16.6,16
W.P. Putrajaya,unemp_graduate_diploma,0.2,0.1,0.2,0.1,0.2,0.2,0.4,0.2,0.2
W.P. Putrajaya,outside_labour_force_diploma,0.7,1.1,1.5,1.4,2.2,2.7,2.7,2.6,2.5
W.P. Putrajaya,unemp_rate_diploma,1.9,1,2,0.9,1.6,1.7,2.3,1.2,1.2
