state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sabah,total_graduate_degree,144.1,163.5,164.4,188,152.6,163.5,177.6,182.2,189
Sabah,emp_graduate_degree,110.3,121.4,120.4,139,128.4,137.5,148.8,152.9,162.2
Sabah,unemp_graduate_degree,10.1,10,12,12.9,12.9,14,15.2,13.9,12.7
Sabah,outside_labour_force_degree,23.6,32.1,32.1,36.1,11.2,12,13.6,15.4,14.2
Sabah,unemp_rate_degree,8.4,7.6,9.1,8.5,9.1,9.2,9.2,8.3,7.2
Sabah,total_graduate_diploma,125.2,141.9,143.3,150.5,151.3,154.4,164.6,163.9,172.8
Sabah,emp_graduate_diploma,107.8,115.7,120.6,130.1,113.5,115.1,123.6,124.5,132.1
Sabah,unemp_graduate_diploma,6.3,11.4,10.7,10.7,12.2,10.6,11,9.7,10
Sabah,outside_labour_force_diploma,11.1,14.8,12,9.7,25.6,28.7,30,29.7,30.7
Sabah,unemp_rate_diploma,5.5,9,8.1,7.6,9.7,8.5,8.1,7.2,7
