state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sarawak,total_graduate_degree,115.8,117.9,136.6,147.6,123.6,128.4,139.9,144.9,157.8
Sarawak,emp_graduate_degree,98,99.3,113.4,125.3,108,111.6,121.9,126.6,138.6
Sarawak,unemp_graduate_degree,5.2,5.2,5.7,5.5,4.3,4.9,5,4.5,4.2
Sarawak,outside_labour_force_degree,12.6,13.3,17.5,16.8,11.3,11.9,13,13.8,14.9
Sarawak,unemp_rate_degree,5,5,4.8,4.2,3.8,4.2,3.9,3.4,3
Sarawak,total_graduate_diploma,126.5,133.1,148.7,164.4,126.3,128.6,136,136.7,143.4
Sarawak,emp_graduate_diploma,101.7,105,116.4,126.7,94.5,96.3,102.7,104.1,109
Sarawak,unemp_graduate_diploma,5,5.7,6,8.5,5.1,4.6,4.4,3.9,3.9
Sarawak,outside_labour_force_diploma,19.8,22.4,26.4,29.2,26.7,27.6,28.9,28.8,30.6
Sarawak,unemp_rate_diploma,4.6,5.1,4.9,6.3,5.1,4.6,4.1,3.6,3.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,, ,,
