state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Selangor,total_graduate_degree,690.2,775.2,760.9,849.9,897,947.9,1001.7,1046.6,1042.5
Selangor,emp_graduate_degree,573,638.3,639.4,700.7,776.5,820.3,877.1,922.4,916.4
Selangor,unemp_graduate_degree,20.3,18.8,23.5,20.5,27.4,28.2,22.5,24.3,23.2
Selangor,outside_labour_force_degree,96.9,118.1,98,128.7,93.1,99.4,102.2,99.8,102.8
Selangor,unemp_rate_degree,3.4,2.9,3.5,2.8,5.6,5.1,4.1,4.3,2.5
Selangor,total_graduate_diploma,672.1,733.4,716.2,801.3,691.6,719.5,741.1,770.4,782.7
Selangor,emp_graduate_diploma,582.4,628.1,623.1,684.4,548.1,571.6,609.4,636.1,643.3
Selangor,unemp_graduate_diploma,19.7,16.5,19.3,22.2,32.4,30.8,26,28.9,27.9
Selangor,outside_labour_force_diploma,70,88.9,73.8,94.7,111.1,117.2,105.7,105.4,111.5
Selangor,unemp_rate_diploma,3.3,2.6,3,3.1,5.6,5.1,4.1,4.3,4.2
