state,statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terengganu,total_graduate_degree,60.7,64.7,75.1,84.6,64.3,71.1,73.6,79.2,83.4
Terengganu,emp_graduate_degree,50.4,52.8,60.3,69.7,51.3,55.6,59,62,67.4
Terengganu,unemp_graduate_degree,2.9,2.8,4.1,3.1,2.6,2.7,2.8,2.3,2.8
Terengganu,outside_labour_force_degree,7.3,9.1,10.7,11.9,10.4,12.8,11.8,14.8,13.2
Terengganu,unemp_rate_degree,5.5,5,6.4,4.3,4.7,4.6,4.5,3.6,4
Terengganu,total_graduate_diploma,76.6,84.3,97.8,102.2,77.4,81.1,85,88.5,88.9
Terengganu,emp_graduate_diploma,53.6,58.7,63.1,69.4,54,55.3,59.1,61.5,63.3
Terengganu,unemp_graduate_diploma,3.2,4.1,5.5,3.6,3.2,3,3,2.7,2.6
Terengganu,outside_labour_force_diploma,19.7,21.5,29.2,29.2,20.2,22.8,22.8,24.4,23.1
Terengganu,unemp_rate_diploma,5.7,6.5,8,4.9,5.7,5.1,4.9,4.1,3.9
