statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
≤ 24_time_degree,4.1,1.7,2.1,2.3,1.9,3.8,1.7,1.2,1.2
25 - 34_time_degree,6.8,11.5,12.7,8.6,14.6,16.3,19.4,9.4,10.7
35 - 44_time_degree,3,4.5,4.3,2.9,12.1,23.6,7.2,3.1,3.6
≥ 45_time_degree,2.1,3.1,5.2,2.3,9.2,4.7,1.3,2.1,7.2
≤ 24_time_diploma,4.4,3.9,3.7,3.7,6.1,12.3,2.4,5.3,0.8
25 - 34_time_diploma,6.2,6.6,8.9,8.3,12.5,15.8,30,6.9,7.9
35 - 44_time_diploma,3.1,3.5,4.2,5.2,11.6,9.2,8.1,4.8,3.6
≥ 45_time_diploma,4.5,2.2,3.6,2.3,5.7,3.1,4.7,2.8,6.6
≤ 24_skill_degree,27.1,37.2,39.5,46.1,38.7,29.4,40,52.4,66.2
25 - 34_skill_degree,132.2,164.4,196.2,211.4,224.8,299.7,318,332.6,267.1
35 - 44_skill_degree,35.7,47.3,53.7,59,99.4,135.2,235.8,176.7,170.9
≥ 45_skill_degree,16.1,24.8,25.5,25,53,55.5,92.3,81.5,94.1
≤ 24_skill_diploma,141.4,155.5,171.6,179.8,160,144,152.3,173.7,193.9
25 - 34_skill_diploma,295.6,313.4,345.6,363,342.6,410,378,368.3,408.3
35 - 44_skill_diploma,101.2,106.9,137.1,157.3,192.2,251.5,248.5,261.8,278.6
≥ 45_skill_diploma,47.9,52,51.2,59.1,84.8,121,87.3,93.8,121.3
