State,Year,unemployment_rate
Johor,2025,3.515809996359253
Johor,2026,4.108478929846331
Johor,2027,4.093067528885354
Johor,2028,3.7658033560095356
Johor,2029,3.4158126524991417
Kedah,2025,2.9951020998518407
Kedah,2026,3.181848067749682
Kedah,2027,3.173370662647924
Kedah,2028,3.165037321955083
Kedah,2029,3.133971887083444
Kelantan,2025,3.6215431330016505
Kelantan,2026,3.060847473436481
Kelantan,2027,2.500151813871311
Kelantan,2028,1.9394561543061417
Kelantan,2029,1.3787604947409724
Melaka,2025,1.43743541047805
Melaka,2026,1.6776989705239878
Melaka,2027,1.678473187547251
Melaka,2028,1.7246473107798423
Melaka,2029,1.7691429874202842
Negeri Sembilan,2025,2.82142714471535
Negeri Sembilan,2026,2.630355338138148
Negeri Sembilan,2027,2.439283531560946
Negeri Sembilan,2028,2.2482117249837437
Negeri Sembilan,2029,2.0571399184065418
Pahang,2025,3.172410037609531
Pahang,2026,3.209078123388001
Pahang,2027,3.209078123388001
Pahang,2028,3.209078123388001
Pahang,2029,3.209078123388001
Perak,2025,3.863314323766038
Perak,2026,3.6133302475471476
Perak,2027,3.3633461713282577
Perak,2028,3.1133620951093675
Perak,2029,2.8633780188904776
Perlis,2025,4.249047720128429
Perlis,2026,4.2024498817266345
Perlis,2027,4.2024498817266345
Perlis,2028,4.2024498817266345
Perlis,2029,4.2024498817266345
Pulau Pinang,2025,2.1674046939199716
Pulau Pinang,2026,2.1720224528502894
Pulau Pinang,2027,1.9154053321066864
Pulau Pinang,2028,1.9024223818924466
Pulau Pinang,2029,1.9890340720998843
Sabah,2025,8.33218457722673
Sabah,2026,8.33218457722673
Sabah,2027,8.33218457722673
Sabah,2028,8.33218457722673
Sabah,2029,8.33218457722673
Sarawak,2025,2.9642049873879737
Sarawak,2026,2.6463396806285706
Sarawak,2027,2.3284743738691684
Sarawak,2028,2.0106090671097654
Sarawak,2029,1.6927437603503626
Selangor,2025,4.089098774967869
Selangor,2026,4.089098774967869
Selangor,2027,4.089098774967869
Selangor,2028,4.089098774967869
Selangor,2029,4.089098774967869
Terengganu,2025,3.2285408770235344
Terengganu,2026,2.8088893039348344
Terengganu,2027,2.3892377308461343
Terengganu,2028,1.9695861577574338
Terengganu,2029,1.5499345846687336
W.P. Kuala Lumpur,2025,2.375424849508621
W.P. Kuala Lumpur,2026,2.3254248435481566
W.P. Kuala Lumpur,2027,2.2754248375876927
W.P. Kuala Lumpur,2028,2.2254248316272287
W.P. Kuala Lumpur,2029,2.1754248256667648
W.P. Labuan,2025,1.0510321572879349
W.P. Labuan,2026,1.0624640322879348
W.P. Labuan,2027,1.0624640322879348
W.P. Labuan,2028,1.0624640322879348
W.P. Labuan,2029,1.0624640322879348
W.P. Putrajaya,2025,1.3193693208248218
W.P. Putrajaya,2026,1.3193693208248218
W.P. Putrajaya,2027,1.3193693208248218
W.P. Putrajaya,2028,1.3193693208248218
W.P. Putrajaya,2029,1.3193693208248218
