State,Year,Data_Type,unemployment_rate
Johor,2018,actual,3.3
Johor,2019,actual,3.55
Johor,2020,actual,4.5
Johor,2021,actual,4.1
Johor,2022,actual,3.9
Johor,2023,actual,3.25
Johor,2024,actual,3.25
Johor,2025,forecast,3.515809996359253
Johor,2026,forecast,4.108478929846331
Johor,2027,forecast,4.093067528885354
Johor,2028,forecast,3.7658033560095356
Johor,2029,forecast,3.4158126524991417
Kedah,2018,actual,3.3
Kedah,2019,actual,4.15
Kedah,2020,actual,4.1
Kedah,2021,actual,3.8
Kedah,2022,actual,3.6500000000000004
Kedah,2023,actual,3.3000000000000003
Kedah,2024,actual,3.0
Kedah,2025,forecast,2.9951020998518407
Kedah,2026,forecast,3.181848067749682
Kedah,2027,forecast,3.173370662647924
Kedah,2028,forecast,3.165037321955083
Kedah,2029,forecast,3.133971887083444
Kelantan,2018,actual,5.85
Kelantan,2019,actual,6.9
Kelantan,2020,actual,6.1
Kelantan,2021,actual,5.6
Kelantan,2022,actual,5.2
Kelantan,2023,actual,4.699999999999999
Kelantan,2024,actual,4.3
Kelantan,2025,forecast,3.6215431330016505
Kelantan,2026,forecast,3.060847473436481
Kelantan,2027,forecast,2.500151813871311
Kelantan,2028,forecast,1.9394561543061417
Kelantan,2029,forecast,1.3787604947409724
Melaka,2018,actual,1.4
Melaka,2019,actual,1.7
Melaka,2020,actual,2.2
Melaka,2021,actual,2.05
Melaka,2022,actual,2.0
Melaka,2023,actual,1.6500000000000001
Melaka,2024,actual,1.4
Melaka,2025,forecast,1.43743541047805
Melaka,2026,forecast,1.6776989705239878
Melaka,2027,forecast,1.678473187547251
Melaka,2028,forecast,1.7246473107798423
Melaka,2029,forecast,1.7691429874202842
Negeri Sembilan,2018,actual,3.95
Negeri Sembilan,2019,actual,4.0
Negeri Sembilan,2020,actual,4.050000000000001
Negeri Sembilan,2021,actual,3.7
Negeri Sembilan,2022,actual,3.3
Negeri Sembilan,2023,actual,3.05
Negeri Sembilan,2024,actual,3.05
Negeri Sembilan,2025,forecast,2.82142714471535
Negeri Sembilan,2026,forecast,2.630355338138148
Negeri Sembilan,2027,forecast,2.439283531560946
Negeri Sembilan,2028,forecast,2.2482117249837437
Negeri Sembilan,2029,forecast,2.0571399184065418
