state,year,gdp_rm_million,population,gdp_per_capita,data_type
Johor,2016,114965.455,3651800,31481.8596,historical
Johor,2017,121697.116,3697000,32917.8025,historical
Johor,2018,128914.397,3749400,34382.6738,historical
Johor,2019,132617.111,3761200,35259.2553,historical
Johor,2020,126746.445,4009700,31609.9571,historical
Johor,2021,129974.066,4020000,32331.8572,historical
Johor,2022,140837.029,4028300,34961.9018,historical
Johor,2023,146506.997,4107200,35670.7725,historical
Johor,2024,156240.0,4184400,37338.6866,historical
Johor,2024,153747.652,4178457,36795.3109,forecast
Johor,2025,156099.721,4205065,37121.8249,forecast
Johor,2026,158588.611,4231397,37479.0185,forecast
Johor,2027,161214.457,4257451,37866.4263,forecast
Johor,2028,163977.392,4283227,38283.606,forecast
Kedah,2016,40833.877,2119700,19263.9888,historical
Kedah,2017,42760.228,2143900,19945.0665,historical
Kedah,2018,44523.113,2163000,20583.9635,historical
Kedah,2019,46617.584,2173700,21446.1904,historical
Kedah,2020,45794.875,2131400,21485.8192,historical
Kedah,2021,47181.346,2151700,21927.4741,historical
Kedah,2022,50633.569,2163100,23407.8725,historical
Kedah,2023,51479.508,2189300,23514.1406,historical
Kedah,2024,53713.0,2217100,24226.6925,historical
Kedah,2024,53345.276,2207701,24163.2651,forecast
Kedah,2025,54017.688,2213002,24409.2312,forecast
Kedah,2026,54705.558,2218736,24656.1817,forecast
Kedah,2027,55408.9,2224902,24903.9666,forecast
Kedah,2028,56127.729,2231502,25152.4365,forecast
Kelantan,2016,22450.992,1796700,12495.6821,historical
Kelantan,2017,23474.907,1829000,12834.8316,historical
Kelantan,2018,24116.843,1860500,12962.5601,historical
Kelantan,2019,25449.448,1883800,13509.6337,historical
Kelantan,2020,25164.054,1792500,14038.5238,historical
Kelantan,2021,25748.816,1812300,14207.8111,historical
Kelantan,2022,26889.336,1830600,14688.8102,historical
Kelantan,2023,27610.996,1859800,14846.2179,historical
Kelantan,2024,28616.0,1887900,15157.5825,historical
Kelantan,2024,28435.439,1875996,15157.5112,forecast
Kelantan,2025,28733.124,1879689,15286.0972,forecast
Kelantan,2026,29033.395,1883722,15412.7781,forecast
Kelantan,2027,29336.252,1888094,15537.4951,forecast
Kelantan,2028,29641.7,1892805,15660.1946,forecast
Melaka,2016,37644.281,901100,41775.9194,historical
Melaka,2017,40635.86,913100,44503.1869,historical
Melaka,2018,42190.563,922400,45739.9859,historical
Melaka,2019,43521.414,928400,46877.8695,historical
Melaka,2020,40926.882,998400,40992.47,historical
Melaka,2021,41812.671,1004500,41625.3569,historical
Melaka,2022,45512.288,1008600,45124.2197,historical
Melaka,2023,46868.477,1028300,45578.6025,historical
Melaka,2024,48837.0,1046700,46658.0682,historical
Melaka,2024,48312.209,1046322,46173.3313,forecast
Melaka,2025,48891.836,1053887,46391.8982,forecast
Melaka,2026,49499.012,1061389,46636.0342,forecast
Melaka,2027,50133.764,1068830,46905.2714,forecast
Melaka,2028,50796.119,1076208,47199.164,forecast
Negeri Sembilan,2016,40829.168,1099300,37141.0607,historical
Negeri Sembilan,2017,42823.782,1114000,38441.456,historical
Negeri Sembilan,2018,44796.618,1122900,39893.6842,historical
Negeri Sembilan,2019,47302.938,1126200,42002.2536,historical
Negeri Sembilan,2020,45471.636,1200000,37893.03,historical
Negeri Sembilan,2021,47177.233,1204200,39177.2405,historical
Negeri Sembilan,2022,50621.201,1207900,41908.437,historical
Negeri Sembilan,2023,51766.56,1224900,42261.8663,historical
Negeri Sembilan,2024,54199.0,1239500,43726.5026,historical
Negeri Sembilan,2024,53734.758,1240316,43323.4181,forecast
Negeri Sembilan,2025,54433.339,1247146,43646.2979,forecast
Negeri Sembilan,2026,55151.171,1253802,43987.1106,forecast
Negeri Sembilan,2027,55888.272,1260285,44345.7335,forecast
Negeri Sembilan,2028,56644.662,1266593,44722.0629,forecast
Pahang,2016,50791.679,1626700,31223.753,historical
Pahang,2017,54444.113,1647000,33056.5349,historical
Pahang,2018,56171.21,1664700,33742.5422,historical
Pahang,2019,58379.456,1671400,34928.4767,historical
Pahang,2020,54810.29,1591300,34443.719,historical
Pahang,2021,55389.363,1601500,34585.9276,historical
Pahang,2022,61695.061,1614300,38217.8412,historical
Pahang,2023,64904.046,1643200,39498.5674,historical
Pahang,2024,68547.0,1667700,41102.7163,historical
Pahang,2024,67471.754,1655479,40756.6164,forecast
Pahang,2025,68605.618,1658432,41367.7573,forecast
Pahang,2026,69828.074,1662069,42012.7296,forecast
Pahang,2027,71139.207,1666392,42690.5502,forecast
Pahang,2028,72539.106,1671401,43400.1659,forecast
Perak,2016,65865.388,2482100,26536.1541,historical
Perak,2017,69212.197,2493200,27760.3871,historical
Perak,2018,72923.63,2503500,29128.6719,historical
Perak,2019,75961.02,2508800,30277.83,historical
Perak,2020,74212.618,2496000,29732.6194,historical
Perak,2021,76866.045,2515800,30553.321,historical
Perak,2022,80375.148,2514400,31965.9354,historical
Perak,2023,82498.953,2541200,32464.5652,historical
Perak,2024,86170.0,2569400,33537.0125,historical
Perak,2024,85457.922,2560952,33369.5807,forecast
Perak,2025,86391.695,2566775,33657.6715,forecast
Perak,2026,87330.19,2573120,33939.4044,forecast
Perak,2027,88273.411,2579988,34214.6499,forecast
Perak,2028,89221.364,2587379,34483.2884,forecast
Perlis,2016,5467.923,251000,21784.5538,historical
Perlis,2017,5582.432,252000,22152.5079,historical
Perlis,2018,5786.961,253500,22828.2485,historical
Perlis,2019,6079.216,254000,23933.9213,historical
Perlis,2020,5744.655,284900,20163.7592,historical
Perlis,2021,5790.28,287600,20133.1015,historical
Perlis,2022,6081.364,289800,20984.6929,historical
Perlis,2023,6228.841,293100,21251.5899,historical
Perlis,2024,6435.0,296800,21681.2668,historical
Perlis,2024,6378.057,298001,21402.7641,forecast
Perlis,2025,6427.279,300565,21383.969,forecast
Perlis,2026,6478.398,303087,21374.6983,forecast
Perlis,2027,6531.414,305567,21374.7156,forecast
Perlis,2028,6586.329,308005,21383.8059,forecast
Pulau Pinang,2016,81685.176,1717700,47554.9723,historical
Pulau Pinang,2017,85750.619,1744100,49166.1138,historical
Pulau Pinang,2018,90324.066,1762800,51238.9755,historical
Pulau Pinang,2019,94039.174,1768800,53165.5213,historical
Pulau Pinang,2020,92027.247,1740400,52877.0668,historical
Pulau Pinang,2021,98499.201,1740000,56608.7362,historical
Pulau Pinang,2022,111637.855,1740900,64126.5179,historical
Pulau Pinang,2023,115298.875,1772600,65045.0609,historical
Pulau Pinang,2024,120720.0,1800500,67048.0422,historical
Pulau Pinang,2024,119943.285,1789813,67014.4189,forecast
Pulau Pinang,2025,122563.14,1793356,68342.8576,forecast
Pulau Pinang,2026,125333.23,1797179,69738.8523,forecast
Pulau Pinang,2027,128253.701,1801280,71201.3957,forecast
Pulau Pinang,2028,131324.699,1805661,72729.4265,forecast
Sabah,2016,77216.391,3802800,20305.1412,historical
Sabah,2017,83441.539,3855900,21639.9645,historical
Sabah,2018,84685.103,3898400,21723.041,historical
Sabah,2019,85454.477,3904400,21886.7117,historical
Sabah,2020,77570.59,3418800,22689.4203,historical
Sabah,2021,78760.512,3412600,23079.3272,historical
Sabah,2022,81836.756,3414900,23964.6127,historical
Sabah,2023,82934.128,3596700,23058.3946,historical
Sabah,2024,84026.0,3742000,22454.837,historical
Sabah,2024,83371.942,3658216,22790.3259,forecast
Sabah,2025,83469.455,3665335,22772.6637,forecast
Sabah,2026,83568.901,3677726,22722.9803,forecast
Sabah,2027,83670.283,3695393,22641.7796,forecast
Sabah,2028,83773.601,3718342,22529.825,forecast
Sarawak,2016,124066.679,2738700,45301.3032,historical
Sarawak,2017,129648.395,2766300,46867.077,historical
Sarawak,2018,132534.955,2791700,47474.6409,historical
Sarawak,2019,136440.915,2806000,48624.7024,historical
Sarawak,2020,127168.613,2453700,51827.2865,historical
Sarawak,2021,131238.581,2465600,53227.8476,historical
Sarawak,2022,140271.227,2473500,56709.6127,historical
Sarawak,2023,141932.408,2502300,56720.7801,historical
Sarawak,2024,147693.0,2517500,58666.5343,historical
Sarawak,2024,146206.964,2489640,58726.1412,forecast
Sarawak,2025,147607.846,2478249,59561.34,forecast
Sarawak,2026,149110.52,2468262,60411.1295,forecast
Sarawak,2027,150715.085,2459681,61274.2375,forecast
Sarawak,2028,152421.642,2452506,62149.3258,forecast
Selangor,2016,273337.793,6291500,43445.5683,historical
Selangor,2017,293573.278,6380700,46009.5723,historical
Selangor,2018,315374.22,6475000,48706.4432,historical
Selangor,2019,336521.632,6506100,51724.0178,historical
Selangor,2020,319382.388,6994400,45662.5855,historical
Selangor,2021,336017.6,7014700,47901.9203,historical
Selangor,2022,374475.789,7050300,53114.873,historical
Selangor,2023,392706.85,7209700,54469.2359,historical
Selangor,2024,418044.0,7362700,56778.6274,historical
Selangor,2024,412619.508,7350979,56131.2252,forecast
Selangor,2025,420855.705,7406282,56824.1498,forecast
Selangor,2026,429450.751,7461383,57556.4508,forecast
Selangor,2027,438404.994,7516282,58327.3693,forecast
Selangor,2028,447718.787,7570979,59136.1752,forecast
Terengganu,2016,32083.364,1183400,27111.1746,historical
Terengganu,2017,33873.79,1208000,28041.2169,historical
Terengganu,2018,34774.157,1228300,28310.8011,historical
Terengganu,2019,35984.578,1244500,28914.8879,historical
Terengganu,2020,33963.344,1149400,29548.7594,historical
Terengganu,2021,35219.898,1170700,30084.4777,historical
Terengganu,2022,37345.534,1186600,31472.7237,historical
Terengganu,2023,38186.692,1210000,31559.2496,historical
Terengganu,2024,39885.0,1231500,32387.3325,historical
Terengganu,2024,39465.426,1220819,32327.0001,forecast
Terengganu,2025,39892.198,1223389,32607.9225,forecast
Terengganu,2026,40341.99,1226471,32892.715,forecast
Terengganu,2027,40814.825,1230066,33180.9982,forecast
Terengganu,2028,41310.724,1234173,33472.3861,forecast
W.P. Kuala Lumpur,2016,189175.58,1789700,105702.397,historical
W.P. Kuala Lumpur,2017,202618.154,1793200,112992.5017,historical
W.P. Kuala Lumpur,2018,216931.808,1790000,121190.9542,historical
W.P. Kuala Lumpur,2019,230072.288,1782500,129072.8123,historical
W.P. Kuala Lumpur,2020,213664.946,1982100,107797.2585,historical
W.P. Kuala Lumpur,2021,216056.748,1964000,110008.5275,historical
W.P. Kuala Lumpur,2022,238340.583,1961200,121527.9334,historical
W.P. Kuala Lumpur,2023,248078.424,2005700,123686.7049,historical
W.P. Kuala Lumpur,2024,264453.0,2067500,127909.5526,historical
W.P. Kuala Lumpur,2024,260129.047,2060020,126274.9529,forecast
W.P. Kuala Lumpur,2025,263936.692,2077620,127037.9583,forecast
