state,target,model,train_r2,cv_r2,mae,rmse
Johor,gdp_rm_million,Gradient Boosting,1.0,-2.4325,0.0,0.01
Johor,gdp_rm_million,Random Forest,0.9669,-3.9537,1870.34,2187.9
Johor,gdp_rm_million,Extra Trees,1.0,-2.4325,0.0,0.0
Johor,gdp_rm_million,Poly Ridge (deg 3),0.8977,-12.1671,3190.41,3845.93
Johor,gdp_rm_million,ElasticNet Poly,0.8705,-5.5564,3509.1,4327.91
Johor,population,Gradient Boosting,1.0,-7.5297,0.04,0.04
Johor,population,Random Forest,0.9779,-176.1996,20915.78,27606.01
Johor,population,Extra Trees,1.0,-7.5297,0.0,0.0
Johor,population,Poly Ridge (deg 3),0.9383,-1789.4234,33844.02,46093.06
Johor,population,ElasticNet Poly,0.9378,-33.227,34243.45,46288.14
Kedah,gdp_rm_million,Gradient Boosting,1.0,-7.694,0.0,0.0
Kedah,gdp_rm_million,Random Forest,0.9789,-14.336,491.5,576.58
Kedah,gdp_rm_million,Extra Trees,1.0,-7.694,0.0,0.0
Kedah,gdp_rm_million,Poly Ridge (deg 3),0.9632,-5.9967,649.62,762.62
Kedah,gdp_rm_million,ElasticNet Poly,0.9601,-5.2735,655.3,794.08
Kedah,population,Gradient Boosting,1.0,-9.791,0.08,0.1
Kedah,population,Random Forest,0.918,-5.3978,6914.56,8031.49
Kedah,population,Extra Trees,1.0,-9.791,0.0,0.0
Kedah,population,Poly Ridge (deg 3),0.6488,-108.5617,14518.11,16618.69
Kedah,population,ElasticNet Poly,0.5984,-4.2705,15871.1,17769.68
Kelantan,gdp_rm_million,Gradient Boosting,1.0,-26.5237,0.0,0.0
Kelantan,gdp_rm_million,Random Forest,0.9782,-38.4547,232.22,276.67
Kelantan,gdp_rm_million,Extra Trees,1.0,-26.5237,0.0,0.0
Kelantan,gdp_rm_million,Poly Ridge (deg 3),0.9721,-5.4505,234.92,312.72
Kelantan,gdp_rm_million,ElasticNet Poly,0.9718,-4.7556,239.45,314.75
Kelantan,population,Gradient Boosting,1.0,-6.5754,0.15,0.18
Kelantan,population,Random Forest,0.8605,-4.3212,10191.85,12526.99
Kelantan,population,Extra Trees,1.0,-6.5754,0.0,0.0
Kelantan,population,Poly Ridge (deg 3),0.1965,-133.3914,25470.93,30069.86
Kelantan,population,ElasticNet Poly,0.1749,-7.2213,26531.73,30471.74
Melaka,gdp_rm_million,Gradient Boosting,1.0,-2.614,0.0,0.0
Melaka,gdp_rm_million,Random Forest,0.9552,-5.133,623.06,691.96
Melaka,gdp_rm_million,Extra Trees,1.0,-2.614,0.0,0.0
Melaka,gdp_rm_million,Poly Ridge (deg 3),0.826,-12.011,1179.36,1363.28
Melaka,gdp_rm_million,ElasticNet Poly,0.8111,-4.6564,1224.75,1420.44
Melaka,population,Gradient Boosting,1.0,-9.0152,0.01,0.01
Melaka,population,Random Forest,0.9804,-79.7063,5367.15,7330.08
Melaka,population,Extra Trees,1.0,-9.0152,0.0,0.0
Melaka,population,Poly Ridge (deg 3),0.9344,-587.7763,10039.71,13421.56
Melaka,population,ElasticNet Poly,0.934,-5.4797,10149.39,13456.13
Negeri Sembilan,gdp_rm_million,Gradient Boosting,1.0,-3.5834,0.0,0.0
Negeri Sembilan,gdp_rm_million,Random Forest,0.9737,-6.1494,579.27,661.62
Negeri Sembilan,gdp_rm_million,Extra Trees,1.0,-3.5834,0.0,0.0
Negeri Sembilan,gdp_rm_million,Poly Ridge (deg 3),0.9413,-5.3746,801.51,989.08
Negeri Sembilan,gdp_rm_million,ElasticNet Poly,0.9367,-1.7131,808.61,1027.03
Negeri Sembilan,population,Gradient Boosting,1.0,-7.6541,0.01,0.01
Negeri Sembilan,population,Random Forest,0.9782,-90.8458,5492.63,7567.89
Negeri Sembilan,population,Extra Trees,1.0,-7.6541,0.0,0.0
Negeri Sembilan,population,Poly Ridge (deg 3),0.9222,-749.9657,10533.38,14285.07
Negeri Sembilan,population,ElasticNet Poly,0.9197,-8.6243,10598.71,14518.51
Pahang,gdp_rm_million,Gradient Boosting,1.0,-3.0282,0.0,0.0
Pahang,gdp_rm_million,Random Forest,0.9615,-5.6767,956.31,1048.11
Pahang,gdp_rm_million,Extra Trees,1.0,-3.0282,0.0,0.0
Pahang,gdp_rm_million,Poly Ridge (deg 3),0.8511,-7.8535,1748.45,2060.35
Pahang,gdp_rm_million,ElasticNet Poly,0.7929,-4.984,1969.29,2429.81
Pahang,population,Gradient Boosting,1.0,-6.235,0.03,0.03
Pahang,population,Random Forest,0.8742,-5.3457,7548.37,9889.4
Pahang,population,Extra Trees,1.0,-6.235,0.0,0.0
Pahang,population,Poly Ridge (deg 3),0.1294,-196.8136,22780.15,26019.64
Pahang,population,ElasticNet Poly,0.0008,-10.7847,24930.76,27875.19
Perak,gdp_rm_million,Gradient Boosting,1.0,-5.6959,0.0,0.0
Perak,gdp_rm_million,Random Forest,0.975,-9.8458,844.49,953.19
Perak,gdp_rm_million,Extra Trees,1.0,-5.6959,0.0,0.0
Perak,gdp_rm_million,Poly Ridge (deg 3),0.9552,-14.9389,1056.55,1276.4
Perak,gdp_rm_million,ElasticNet Poly,0.9551,-6.5274,1064.47,1277.92
Perak,population,Gradient Boosting,1.0,-250.9846,0.5,0.57
Perak,population,Random Forest,0.9466,-166.473,4884.37,5829.77
Perak,population,Extra Trees,1.0,-250.9846,0.0,0.0
Perak,population,Poly Ridge (deg 3),0.8845,-1165.4655,7399.46,8569.11
Perak,population,ElasticNet Poly,0.7938,-16.9812,9186.33,11452.75
